REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,House only,"Index, 201612=100",347,units ,0,v111955494,18.2,95.1,,,,1
2010-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050335505,Land only,"Index, 201612=100",347,units ,0,v111955495,18.3,91.5,,,,1
2010-02,"Oshawa, Ontario",2011S0503532,Total (house and land),"Index, 201612=100",347,units ,0,v111955496,19.1,,..,,,1
2010-02,"Oshawa, Ontario",2011S0503532,House only,"Index, 201612=100",347,units ,0,v111955497,19.2,,..,,,1
2010-02,"Oshawa, Ontario",2011S0503532,Land only,"Index, 201612=100",347,units ,0,v111955498,19.3,,..,,,1
2010-02,"Toronto, Ontario",2011S0503535,Total (house and land),"Index, 201612=100",347,units ,0,v111955499,20.1,75.6,,,,1
2010-02,"Toronto, Ontario",2011S0503535,House only,"Index, 201612=100",347,units ,0,v111955500,20.2,69.2,,,,1
2010-02,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units ,0,v111955501,20.3,88.3,,,,1
2010-02,"Hamilton, Ontario",2011S0503537,Total (house and land),"Index, 201612=100",347,units ,0,v111955502,21.1,85.9,,,,1
2010-02,"Hamilton, Ontario",2011S0503537,House only,"Index, 201612=100",347,units ,0,v111955503,21.2,81.7,,,,1
2010-02,"Hamilton, Ontario",2011S0503537,Land only,"Index, 201612=100",347,units ,0,v111955504,21.3,95.3,,,,1
2010-02,"St. Catharines-Niagara, Ontario",2011S0503539,Total (house and land),"Index, 201612=100",347,units ,0,v111955505,22.1,86.6,,,,1
2010-02,"St. Catharines-Niagara, Ontario",2011S0503539,House only,"Index, 201612=100",347,units ,0,v111955506,22.2,83.0,,,,1
2010-02,"St. Catharines-Niagara, Ontario",2011S0503539,Land only,"Index, 201612=100",347,units ,0,v111955507,22.3,97.0,,,,1
2010-02,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Total (house and land),"Index, 201612=100",347,units ,0,v111955508,23.1,86.7,,,,1
2010-02,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,House only,"Index, 201612=100",347,units ,0,v111955509,23.2,83.0,,,,1
2010-02,"Kitchener-Cambridge-Waterloo, Ontario",2011S0503541,Land only,"Index, 201612=100",347,units ,0,v111955510,23.3,99.0,,,,1
2010-02,"Guelph, Ontario",2011S0503550,Total (house and land),"Index, 201612=100",347,units ,0,v111955511,24.1,,..,,,1
2010-02,"Guelph, Ontario",2011S0503550,House only,"Index, 201612=100",347,units ,0,v111955512,24.2,,..,,,1
2010-02,"Guelph, Ontario",2011S0503550,Land only,"Index, 201612=100",347,units ,0,v111955513,24.3,,..,,,1
2010-02,"London, Ontario",2011S0503555,Total (house and land),"Index, 201612=100",347,units ,0,v111955514,25.1,89.8,,,,1
2010-02,"London, Ontario",2011S0503555,House only,"Index, 201612=100",347,units ,0,v111955515,25.2,87.4,,,,1
2010-02,"London, Ontario",2011S0503555,Land only,"Index, 201612=100",347,units ,0,v111955516,25.3,100.1,,,,1
2010-02,"Windsor, Ontario",2011S0503559,Total (house and land),"Index, 201612=100",347,units ,0,v111955517,26.1,95.0,,,,1
2010-02,"Windsor, Ontario",2011S0503559,House only,"Index, 201612=100",347,units ,0,v111955518,26.2,95.0,,,,1
2010-02,"Windsor, Ontario",2011S0503559,Land only,"Index, 201612=100",347,units ,0,v111955519,26.3,94.7,,,,1
2010-02,"Greater Sudbury, Ontario",2011S0503580,Total (house and land),"Index, 201612=100",347,units ,0,v111955520,27.1,97.1,,,,1
2010-02,"Greater Sudbury, Ontario",2011S0503580,House only,"Index, 201612=100",347,units ,0,v111955521,27.2,96.9,,,,1
2010-02,"Greater Sudbury, Ontario",2011S0503580,Land only,"Index, 201612=100",347,units ,0,v111955522,27.3,98.1,,,,1
2010-02,Prairie Region,2016A00014,Total (house and land),"Index, 201612=100",347,units ,0,v111955523,28.1,91.4,,,,1
2010-02,Prairie Region,2016A00014,House only,"Index, 201612=100",347,units ,0,v111955524,28.2,92.1,,,,1
2010-02,Prairie Region,2016A00014,Land only,"Index, 201612=100",347,units ,0,v111955525,28.3,90.2,,,,1
2010-02,Manitoba,2016A000246,Total (house and land),"Index, 201612=100",347,units ,0,v111955526,29.1,81.4,,,,1
